,Nanc,t1,nu11
10.sfs,1952.4099044777174,9.754526364008363e-05,1.9262235981403226
36.sfs,1688.7555512991455,0.00010245908624488137,1.66610545536048
18.sfs,1934.6930187406601,9.216210025821524e-05,1.90874433913906
14.sfs,1714.0074792415576,8.497837661341097e-05,1.6910187050258108
41.sfs,1703.144931306676,9.466211593807425e-05,1.6803018425077623
06.sfs,1790.4244091775804,9.775847963540927e-05,1.7664107007444751
33.sfs,1868.8071947319704,9.388300619933534e-05,1.843742194515386
09.sfs,1803.1568413554928,9.104223693623475e-05,1.7807522271387175
39.sfs,1516.2678717489055,0.00010245908624488713,1.4959312323001654
08.sfs,1571.8294677919025,8.867337809170913e-05,1.5507476243910099
25.sfs,1929.538564855037,0.00010245908624488698,1.9036590149239057
22.sfs,1611.3557116110783,0.00010245908624488248,1.5897437255357516
16.sfs,2055.639760727229,0.00010245908624489148,2.0280689037373056
45.sfs,1831.1202104186332,0.00010245908624487801,1.8065606769744322
01.sfs,2000.808279202935,0.00010245908624485147,1.973972838488049
12.sfs,1349.240917084604,0.00010245908624488447,1.331144493245861
47.sfs,1667.3525963625088,7.704641336734493e-05,1.6449895763352744
46.sfs,1579.3932926377736,7.771856640527441e-05,1.5582100083208699
43.sfs,1596.3815861840774,0.00010245908624489164,1.574970437569956
48.sfs,1775.133976439937,0.00010149830875070292,1.7530775485054297
49.sfs,1455.5997458720703,0.00010245908624488981,1.436076805522926
31.sfs,1807.8883008366229,9.64129250462361e-05,1.7836403618759613
30.sfs,1802.5493354110165,9.941436625744472e-05,1.7801522659139506
20.sfs,2071.0986244140868,0.00010245908624489176,2.0433204285080366
07.sfs,1765.184927629737,9.273685652223842e-05,1.7415097408421882
38.sfs,1691.8833982483795,9.98672671433304e-05,1.6691913508996048
19.sfs,1366.6024608796965,0.00010245908624489176,1.3482731788085707
03.sfs,1845.3260092162304,0.00010245908624488825,1.820575943338011
05.sfs,1642.7716389044929,7.2967722234035e-05,1.6207383105502966
29.sfs,1822.332208646308,7.096793020614829e-05,1.7978905654347626
11.sfs,1653.9961907780435,0.00010245908624488786,1.6318122978075718
32.sfs,1903.115383386903,0.00010245908624489128,1.8775902290903543
15.sfs,1574.9970445864985,0.00010245908624488122,1.553872711857848
35.sfs,1976.4486648420316,9.740701530023169e-05,1.9499399434932592
13.sfs,1728.6803898876744,9.381571637137864e-05,1.7054948122015527
50.sfs,1391.8575156053907,5.692738316380037e-05,1.3731895353602361
26.sfs,1828.759172364133,0.00010245908624489075,1.8042313058704318
44.sfs,1447.3295176027495,0.00010245908624488931,1.4279175000355262
34.sfs,1320.1599190353897,0.00010245908624486089,1.3024535382643365
24.sfs,1846.9527873523002,9.741014280399175e-05,1.822180903492808
40.sfs,1261.9649475454273,0.00010245908624489176,1.2450390951855947
21.sfs,1634.42199819163,0.00010245908624489063,1.612500640162739
02.sfs,1477.1326767328226,0.00010245908624489175,1.4573209302569055
23.sfs,1699.9007313860152,9.207892015439389e-05,1.6771011560216373
17.sfs,1518.215176041981,8.467239329797004e-05,1.4978524262229105
37.sfs,1603.4581052693943,0.00010245908624489176,1.58195204425894
42.sfs,2043.095921677579,0.00010245908624489156,2.0156933064190867
27.sfs,1395.4526311860598,0.00010245908624489176,1.3767364019781603
04.sfs,1697.8278578401055,8.697040970778827e-05,1.6767319818746613
28.sfs,1976.3909587218857,9.513758483852099e-05,1.949883012229716
